Address,Latitude,Longitude
"87 Llewellyn St (Cnr Glebe Rd), Merewether NSW 2291",-32.9382263,151.7494391
"66 Captain Cook Drive, Caringbah NSW 2229",-34.0327321,151.124082
"294 PRINCES HWY, CARSS PARK NSW 2221",-33.9819852,151.1178603
"203 Charlotte Bay St, CHARLOTTE BAY NSW 2428",-32.3431224,152.5149927
"75 CAMP ST, GRENFELL NSW 2810",-33.8954752,148.1630397
"38 Kent Rd, NORTH RYDE NSW 2113",-33.7916867,151.1159807
"169-171 PENNANT HILLS RD, THORNLEIGH NSW 2120",-33.7248908,151.0883972
"164 Mona Vale Road, ST IVES NSW 2075",-33.7307758,151.1570112
"690A GREAT WESTERN HWY, FAULCONBRIDGE NSW 2776",-33.7065395,150.5268781
"262 Maitland Rd (Pacific Highway), Islington NSW 2296",-32.9102329,151.7455341
"39-41 Port Stephens Rd (Cnr Bourke St), Raymond Terrace NSW 2324",-32.7602541,151.7441396
"390 Princes Highway, Blakehurst NSW 2221",-33.9902786,151.1136282
"Cnr Dredge & Stockton Avenue, Moorebank NSW 2170",-33.9335256,150.9483376
"35 Woodville Road (cnr Alpha), Chester Hill NSW 2162",-33.8666361,150.9886964
"2203 Camden Valley Way, PRESTONS NSW 2170",-33.9557468,150.8723801
"314 Princes Highway (Cnr Banksia Street), Banksia NSW 2216",-33.9457192,151.1416734
"Lot 16 - 25 Great Western Highway, Eastern Creek NSW 2766",-33.7759993,150.8006377
"12-14 Norfolk Street, Ingleburn NSW 2565",-33.9999514,150.8647818
"163 THE BOULEVARDE, FAIRFIELD HEIGHTS NSW 2165",-33.8665597,150.9378475
"475 Cleveland St, Redfern NSW 2016",-33.8921952,151.2161637
"69 Princes Hwy (cnr Gladstone St), Kogarah NSW 2217",-33.9632418,151.1371637
"61-65 WHARF ST, TWEED HEADS NSW 2485",-28.1724269,153.5426452
"439 Princes Highway (Corner Massey Street), Carlton NSW 2218",-33.9805297,151.1191117
"68 Nuwarra Road, Moorebank NSW 2170",-33.9299927,150.9558125
"574 Great Western Hwy, Werrington NSW 2747",-33.7682975,150.7565829
"1 MAITLAND RD, SINGLETON NSW 2330",-32.5694205,151.1799148
"69 DAVIES RD, PADSTOW NSW 2211",-33.9510751,151.0388117
"1 Campbelltown Road, Glenfield NSW 2167",-33.9634602,150.8809437
"149 Great Western Hwy, Mays Hill NSW 2145",-33.8194102,150.9892934
"2126 Camden Valley Way, EDMONSON PARK NSW 2174",-33.9568201,150.8729002
"295 Woodville Rd, Guildford NSW 2161",-33.8507903,150.9970709
"338 Princes Hwy, BLAKEHURST NSW 2221",-33.9866616,151.112635
"63 Oxford & Cumberland Streets, Ingleburn NSW 2565",-34.0003666,150.8678983
"Cnr Oxford St & Greens Rd, PADDINGTON NSW 2021",-33.8833489,151.2209229
"132 Princes Hway, Kogarah NSW 2217",-33.9748114,151.1282754
"234 Hamilton Road, Fairfield West NSW 2165",-33.872106,150.9372111
"2600 THE LAKES WAY, BUNGWAHL NSW 2423",-32.3871497,152.4447421
"899 Victoria Road, West Ryde NSW 2114",-33.8105259,151.094167
"181 The Boulevarde, Miranda NSW 2228",-34.0302533,151.1096919
"430 Bong Bong St (Cnr Bowral St), Bowral NSW 2576",-34.4827181,150.4173748
"North Parade (Mt Druitt Market Place), Mount Druitt NSW 2770",-33.770069,150.823975
"449 Captain Cook Drive, Woolooware NSW 2230",-34.0385767,151.143995
"577 Great Western Hwy, WERRINGTON NSW 2747",-33.7676479,150.75684
"963 Old Princes Hwy, Engadine NSW 2233",-34.0643322,151.0167225
"102 - 106 Wyong Road, Killarney Vale NSW 2261",-33.3672609,151.4649558
"277-281 Princes Highway, Carlton NSW 2218",-33.974833,151.1274119
"121 Banna Avenue, Griffith NSW 2680",-34.2883398,146.0513106
"553 Bunnerong Road, Matraville NSW 2036",-33.9609075,151.2314871
"Cnr Ryan Avenue & Burn Lane, Singleton NSW 2330",-32.5646297,151.165983
"147 BRIDGE ST, MUSWELLBROOK NSW 2333",-32.259096,150.890069
"600 Liverpool Rd, STRATHFIELD SOUTH NSW 2136",-33.88850250000001,151.0750137
"431 The Entrance Rd, LONG JETTY NSW 2261",-33.3600921,151.4828664
"2 Alison Rd, RANDWICK NSW 2031",-33.9066063,151.2320332
"236 Condamine Street, MANLY VALE NSW 2093",-33.7850819,151.2673154
"313 Great Western Hwy, SOUTH WENTWORTHVILLE NSW 2145",-33.8164413,150.9716351
"211-213 Anzac Parade, KENSINGTON NSW 2033",-33.9146684,151.2251358
"216 Newbridge Rd, MOOREBANK NSW 2170",-33.92939399999999,150.9551811
"636-644 Woodville Rd, OLD GUILDFORD NSW 2161",-33.8665036,150.9881451
"404-410 Liverpool Rd, CROYDON NSW 2132",-33.8884855,151.1160102
"86 Cartwright Avenue, MILLER NSW 2168",-33.9188429,150.8827682
"100 Woolooware Road, WOOLOOWARE NSW 2230",-34.052744,151.1408256
"481 Port Hacking Road, LILLI PILLI NSW 2229",-34.0524759,151.1217199
"2 Bridges Road, MOOREBANK NSW 2170",-33.9283898,150.9327258
